data,temp,pH,turbidez,fosforo,N2amonia,N2k,nitrato,nitrito,dbo,ppt,od
04/07/2000,19,7.2,5,0.29,2.3,3.2,0.32,0.18,5,0,2.1
27/09/2000,22,7.2,10,0.488,2,3.2,0.25,0.2,9,0,2.5
29/11/2000,27,7,64,0.251,1.2,1.5,0.43,0.245,7,25.5,3.7
02/01/2001,27,7.1,101,0.242,0.2,1.2,0.38,0.115,8,0,5.5
06/03/2001,28,7.1,25,0.147,0.2,1.2,0.38,0.115,4,6.3,4.4
08/05/2001,21,7,9,0.242,0.2,1.2,0.38,0.115,5,0,3.2
24/07/2001,20,7.2,5,0.402,0.2,1.2,0.38,0.115,6,0.7,1.1
04/09/2001,24,7.1,6,0.396,0.2,12,0.38,0.115,6,0,0.6
06/11/2001,26,7.3,13,0.385,0.2,1.2,0.38,0.115,9,0,4.1
08/01/2002,27,7.2,58,0.344,0.75,0.87,0.2,0.17,6,47.9,3.9
12/03/2002,29,7.3,31,0.246,0.2,0.2,1.1,0.124,4,0,4.5
14/05/2002,24,6.7,20,0.328,0.25,0.4,1.05,0.005,22,0,0.3
10/07/2002,20,7.2,6,0.285,1.9,2,0.24,0.163,7,0,3
10/09/2002,23,7,7,0.02,2.2,2.7,1.1,0.45,6,0,1.6
19/11/2002,26,7,150,0.953,1.11,1.31,2.6,0.165,27,35.9,1.8
14/01/2003,27,7.1,105,0.037,0.525,0.553,0.788,0.172,11,1.3,4.8
11/03/2003,26,7.1,66,2.09,0.49,0.92,1.1,0.152,7,8.5,5.2
13/05/2003,20.5,7,7.5,0.126,0.71,0.76,1.4,0.299,6,0,2.8
29/07/2003,20.1,7.5,4.7,0.513,5.5,5.7,0.85,0.135,7,0,1.3
09/09/2003,23.8,7.4,5.1,1.13,5,5.2,0.9,0.088,7,0,0.3
18/11/2003,24.3,6.9,120,1.53,1,1.8,1.2,0.192,17,32.6,1.8
13/01/2004,27,7,86,0.674,0.34,0.72,1.8,0.141,7,0,4.9
16/03/2004,26.6,7.1,51,0.551,0.55,0.79,1.6,0.142,5,0,4.4
